iter	Passed	Remaining
0	0	94
1	1	91
2	2	87
3	3	79
4	4	78
5	4	77
6	5	75
7	6	74
8	7	73
9	8	72
10	8	71
11	9	70
12	10	69
13	11	69
14	12	69
15	13	68
16	13	67
17	14	67
18	15	66
19	16	65
20	17	64
21	17	63
22	18	62
23	19	61
24	20	60
25	20	59
26	21	58
27	22	57
28	23	56
29	24	56
30	24	55
31	25	54
32	26	53
33	27	53
34	28	53
35	29	52
36	30	52
37	31	51
38	32	50
39	33	49
40	33	48
41	34	47
42	35	46
43	35	45
44	36	44
45	37	43
46	38	42
47	38	42
48	39	41
49	40	40
50	41	39
51	42	39
52	43	38
53	44	37
54	44	36
55	45	35
56	46	34
57	47	34
58	47	33
59	48	32
60	49	31
61	50	30
62	51	30
63	52	29
64	53	28
65	53	27
66	54	26
67	55	26
68	56	25
69	56	24
70	57	23
71	58	22
72	58	21
73	59	20
74	60	20
75	61	19
76	61	18
77	62	17
78	63	16
79	64	16
80	64	15
81	65	14
82	66	13
83	67	12
84	67	11
85	68	11
86	69	10
87	70	9
88	70	8
89	71	7
90	72	7
91	73	6
92	73	5
93	74	4
94	75	3
95	76	3
96	77	2
97	78	1
98	78	0
99	79	0
